total_population,median_age,median_household_income,per_capita_income,population_below_poverty,bachelors_degree_holders,masters_degree_holders,doctorate_holders,education_population_base,white_alone,black_alone,asian_alone,hispanic_or_latino,median_gross_rent,median_home_value,occupied_housing_units,total_housing_units,total_commuters,public_transit_commuters,total_households,labor_force,unemployed,zip,pct_bachelors_plus,poverty_rate,diversity_index,pct_transit_commuters,housing_occupancy_rate,pct_hispanic,income_rent_ratio,unemployment_rate
57652.0,31.0,57698.0,17994.0,12186.0,1845.0,309.0,54.0,34238.0,16284.0,4295.0,348.0,52642.0,1377.0,487800.0,13597.0,14157.0,23201.0,1896.0,13597.0,26761.0,2676.0,90001,0.06448974823295753,0.2113716783459377,0.4355705024097176,0.0817206154907116,0.9604435968072331,0.9130992853673767,3.4917695473251027,0.09999626321886328
53108.0,30.2,54221.0,18262.0,12740.0,1575.0,384.0,40.0,31116.0,12306.0,8355.0,611.0,43766.0,1434.0,462400.0,13013.0,13639.0,21180.0,1819.0,13013.0,24732.0,2793.0,90002,0.06424347602519605,0.2398885290351736,0.49477320991491247,0.08588290840415486,0.9541022069066647,0.8240942984107855,3.1509181775918176,0.11293061620572538
75024.0,29.5,51275.0,17057.0,20142.0,2109.0,608.0,28.0,43514.0,12889.0,12352.0,350.0,61179.0,1407.0,494600.0,17936.0,18703.0,28723.0,3318.0,17936.0,32984.0,3133.0,90003,0.06308314565427219,0.2684740882917466,0.4605295500833846,0.11551718135292274,0.9589905362776026,0.815459053103007,3.036898839137645,0.09498544748969197
58833.0,35.9,58420.0,41302.0,11321.0,11262.0,3066.0,635.0,42189.0,17019.0,2619.0,14584.0,27410.0,1680.0,1289600.0,23047.0,25617.0,31161.0,4706.0,23047.0,34462.0,2534.0,90004,0.35466590817511673,0.19242601941087484,0.6681570246756212,0.1510221109720484,0.8996759964086349,0.4658949909064641,2.8978174603174605,0.07353026521966223
37754.0,35.3,49226.0,33736.0,8906.0,7267.0,1820.0,221.0,27657.0,7371.0,2006.0,12305.0,18603.0,1572.0,1020300.0,16607.0,18650.0,20354.0,4227.0,16607.0,21888.0,1034.0,90005,0.3365513251618035,0.2358955342480267,0.6574978486179727,0.20767416723985457,0.890455764075067,0.4927424908618954,2.609520780322307,0.047240497076023395
56628.0,35.7,47599.0,23177.0,12891.0,6381.0,1312.0,248.0,39652.0,13244.0,1669.0,10370.0,41030.0,1346.0,781400.0,19100.0,21251.0,28157.0,7234.0,19100.0,30289.0,1684.0,90006,0.2002673257338848,0.22764356855265946,0.5521943326505133,0.25691657491920306,0.8987812338242906,0.7245532245532246,2.9469415552253593,0.0555977417544323
41004.0,25.2,36326.0,18966.0,13598.0,3320.0,1589.0,348.0,20788.0,13360.0,3535.0,7733.0,22109.0,1396.0,789700.0,12520.0,13936.0,17716.0,2490.0,12520.0,20969.0,2616.0,90007,0.2528862805464691,0.331626182811433,0.6614123407230236,0.14055091442763604,0.8983926521239954,0.5391912984099112,2.1684574976122253,0.12475559158758166
33076.0,41.6,57880.0,37574.0,6033.0,4317.0,2751.0,352.0,24361.0,3129.0,21047.0,991.0,8702.0,1468.0,920700.0,14694.0,16112.0,15586.0,1864.0,14694.0,17693.0,1580.0,90008,0.3045851976519847,0.1823981134357238,0.5384277686890515,0.11959450789169768,0.9119910625620655,0.2630910630064095,3.285649409627611,0.0893008534448652
4185.0,33.9,92454.0,71102.0,412.0,1287.0,520.0,24.0,3462.0,803.0,230.0,2775.0,329.0,2349.0,904600.0,2381.0,2913.0,2676.0,486.0,2381.0,2766.0,80.0,90010,0.5288850375505488,0.0984468339307049,0.5029687517254835,0.18161434977578475,0.8173704085135599,0.07861409796893667,3.279906343124734,0.028922631959508314
106042.0,30.6,51819.0,17098.0,28613.0,3124.0,987.0,69.0,62769.0,25646.0,6092.0,660.0,97669.0,1425.0,531600.0,24399.0,25420.0,45219.0,6305.0,24399.0,51848.0,5419.0,90011,0.06659338208351256,0.26982704965956883,0.39503208968630854,0.13943253941927067,0.9598347757671125,0.9210407197148299,3.0303508771929826,0.10451704983798797
38430.0,35.2,58444.0,37880.0,7144.0,7657.0,3115.0,433.0,31085.0,9227.0,5071.0,13807.0,10575.0,2044.0,702100.0,14945.0,16350.0,16287.0,1237.0,14945.0,18197.0,1467.0,90012,0.36046324593855555,0.18589643507676296,0.723745250452096,0.07595014428685455,0.9140672782874618,0.275175644028103,2.3827462491846054,0.08061768423366489
14587.0,43.3,24853.0,44248.0,6658.0,2895.0,994.0,69.0,13559.0,4749.0,4039.0,2055.0,3492.0,1092.0,755100.0,7781.0,9588.0,6038.0,906.0,7781.0,7508.0,1254.0,90013,0.29190943284903015,0.4564338109275382,0.7309698164979235,0.15004968532626697,0.8115352523988318,0.23939123877425106,1.896596459096459,0.16702184336707512
9273.0,41.2,26550.0,48973.0,3297.0,2243.0,764.0,136.0,8311.0,3111.0,1925.0,2210.0,2372.0,1424.0,654000.0,6100.0,7176.0,4634.0,661.0,6100.0,5309.0,614.0,90014,0.37817350499338226,0.3555483662245228,0.7416983803112978,0.142641346568839,0.8500557413600892,0.2557963981451526,1.5537219101123596,0.11565266528536447
25554.0,32.0,61959.0,49903.0,6479.0,5574.0,1711.0,420.0,18583.0,8332.0,2315.0,5197.0,13400.0,2287.0,904900.0,12838.0,14456.0,14699.0,2108.0,12838.0,16296.0,1164.0,90015,0.4146262713232524,0.25354151991860374,0.6710167646756346,0.14341111640247636,0.8880741560597676,0.5243797448540346,2.2576519457804984,0.07142857142857142
47309.0,35.0,63090.0,36314.0,7232.0,6723.0,2075.0,345.0,33246.0,14557.0,13028.0,2111.0,25816.0,1595.0,838500.0,17601.0,19194.0,24024.0,2231.0,17601.0,26678.0,1955.0,90016,0.2750105275822655,0.15286731911475618,0.6584361017117836,0.09286546786546787,0.9170053141606752,0.545688980954998,3.2962382445141065,0.07328135542394483
