store_name,street,city,state,zip_code,phone,store_url,latitude,longitude
Agoura Hills (247),28941 Canwood St,Agoura Hills,CA,91301,818-865-8217,https://locations.traderjoes.com/ca/agoura-hills/247/,34.146489,-118.7565773
Alameda (109),2217 South Shore Ctr,Alameda,CA,94501,510-769-5450,https://locations.traderjoes.com/ca/alameda/109/,37.7577613,-122.2514016
Aliso Viejo (195),26541 Aliso Creek Rd,Aliso Viejo,CA,92656,949-643-5531,https://locations.traderjoes.com/ca/aliso-viejo/195/,33.5775084,-117.7248421
Arroyo Grande (117),955 Rancho Pkwy,Arroyo Grande,CA,93420,805-474-6114,https://locations.traderjoes.com/ca/arroyo-grande/117/,35.1263213,-120.594975
Bakersfield (14),"8200 Stockdale Hwy, #C21",Bakersfield,CA,93311,661-837-8863,https://locations.traderjoes.com/ca/bakersfield/14/,,
Berkeley (186),1885 University Ave,Berkeley,CA,94703,510-204-9074,https://locations.traderjoes.com/ca/berkeley/186/,37.8713759,-122.2734567
Brea (11),2500 E Imperial Hwy,Brea,CA,92821,714-257-1180,https://locations.traderjoes.com/ca/brea/11/,33.9105756,-117.8706382
Brentwood (201),5451 Lone Tree Way,Brentwood,CA,94513,925-516-3044,https://locations.traderjoes.com/ca/brentwood/201/,37.9606971,-121.7499866
Burbank (124),214 E Alameda Ave,Burbank,CA,91502,818-848-4299,https://locations.traderjoes.com/ca/burbank/124/,34.1746658,-118.2997343
Calabasas (254),23741 Calabasas Rd.,Calabasas,CA,91302,818-591-6758,https://locations.traderjoes.com/ca/calabasas/254/,34.1555363,-118.6447547
Camarillo (114),363 Carmen Dr,Camarillo,CA,93010,805-388-1925,https://locations.traderjoes.com/ca/camarillo/114/,34.220633,-119.0505754
Campbell (73),1875 Bascom Ave,Campbell,CA,95008,408-369-7823,https://locations.traderjoes.com/ca/campbell/73/,37.2888018,-121.9330289
Capitola (64),"3555 Clares St, #D",Capitola,CA,95010,831-464-0115,https://locations.traderjoes.com/ca/capitola/64/,,
Carlsbad (220),2629 Gateway Rd,Carlsbad,CA,92009,760-603-8473,https://locations.traderjoes.com/ca/carlsbad/220/,33.1266502,-117.2546644
Castro Valley (84),22224 Redwood Road,Castro Valley,CA,94546,510-538-2738,https://locations.traderjoes.com/ca/castro-valley/84/,37.6854582,-122.0730356
Cathedral City (118),67720 E Palm Canyon Dr,Cathedral City,CA,92234,760-202-0090,https://locations.traderjoes.com/ca/cathedral-city/118/,33.7892267,-116.4830866
Cerritos (104),12861 Towne Center Dr,Cerritos,CA,90703,562-402-5148,https://locations.traderjoes.com/ca/cerritos/104/,33.8689672,-118.058037
Chatsworth (184),10330 Mason Ave,Chatsworth,CA,91311,818-341-3010,https://locations.traderjoes.com/ca/chatsworth/184/,34.2582554,-118.5787951
Chico (199),"801 East Ave, Ste 110",Chico,CA,95926,530-343-9920,https://locations.traderjoes.com/ca/chico/199/,,
Chino Hills (216),13911 Peyton Drive,Chino Hills,CA,91709,909-627-1404,https://locations.traderjoes.com/ca/chino-hills/216/,33.9995407,-117.7327629
Chula Vista (120),"878 Eastlake Pkwy, Ste 810",Chula Vista,CA,91914,619-656-5370,https://locations.traderjoes.com/ca/chula-vista/120/,,
Claremont (214),475 W Foothill Blvd,Claremont,CA,91711,909-625-8784,https://locations.traderjoes.com/ca/claremont/214/,34.1073555,-117.7219566
