store_name,street,city,state,zip_code,phone,store_url,latitude,longitude,split
Agoura Hills (247),28941 Canwood St,Agoura Hills,CA,91301,818-865-8217,https://locations.traderjoes.com/ca/agoura-hills/247/,34.146489,-118.7565773,train
Aliso Viejo (195),26541 Aliso Creek Rd,Aliso Viejo,CA,92656,949-643-5531,https://locations.traderjoes.com/ca/aliso-viejo/195/,33.5775084,-117.7248421,train
Arroyo Grande (117),955 Rancho Pkwy,Arroyo Grande,CA,93420,805-474-6114,https://locations.traderjoes.com/ca/arroyo-grande/117/,35.1263213,-120.594975,train
Bakersfield (14),"8200 Stockdale Hwy, #C21",Bakersfield,CA,93311,661-837-8863,https://locations.traderjoes.com/ca/bakersfield/14/,,,train
Berkeley (186),1885 University Ave,Berkeley,CA,94703,510-204-9074,https://locations.traderjoes.com/ca/berkeley/186/,37.8713759,-122.2734567,train
Brea (11),2500 E Imperial Hwy,Brea,CA,92821,714-257-1180,https://locations.traderjoes.com/ca/brea/11/,33.9105756,-117.8706382,train
Brentwood (201),5451 Lone Tree Way,Brentwood,CA,94513,925-516-3044,https://locations.traderjoes.com/ca/brentwood/201/,37.9606971,-121.7499866,train
Burbank (124),214 E Alameda Ave,Burbank,CA,91502,818-848-4299,https://locations.traderjoes.com/ca/burbank/124/,34.1746658,-118.2997343,train
Calabasas (254),23741 Calabasas Rd.,Calabasas,CA,91302,818-591-6758,https://locations.traderjoes.com/ca/calabasas/254/,34.1555363,-118.6447547,train
Camarillo (114),363 Carmen Dr,Camarillo,CA,93010,805-388-1925,https://locations.traderjoes.com/ca/camarillo/114/,34.220633,-119.0505754,train
Campbell (73),1875 Bascom Ave,Campbell,CA,95008,408-369-7823,https://locations.traderjoes.com/ca/campbell/73/,37.2888018,-121.9330289,train
Capitola (64),"3555 Clares St, #D",Capitola,CA,95010,831-464-0115,https://locations.traderjoes.com/ca/capitola/64/,,,train
Carlsbad (220),2629 Gateway Rd,Carlsbad,CA,92009,760-603-8473,https://locations.traderjoes.com/ca/carlsbad/220/,33.1266502,-117.2546644,train
Cathedral City (118),67720 E Palm Canyon Dr,Cathedral City,CA,92234,760-202-0090,https://locations.traderjoes.com/ca/cathedral-city/118/,33.7892267,-116.4830866,train
Cerritos (104),12861 Towne Center Dr,Cerritos,CA,90703,562-402-5148,https://locations.traderjoes.com/ca/cerritos/104/,33.8689672,-118.058037,train
Chatsworth (184),10330 Mason Ave,Chatsworth,CA,91311,818-341-3010,https://locations.traderjoes.com/ca/chatsworth/184/,34.2582554,-118.5787951,train
Chico (199),"801 East Ave, Ste 110",Chico,CA,95926,530-343-9920,https://locations.traderjoes.com/ca/chico/199/,,,train
Chino Hills (216),13911 Peyton Drive,Chino Hills,CA,91709,909-627-1404,https://locations.traderjoes.com/ca/chino-hills/216/,33.9995407,-117.7327629,train
Clovis (180),1077 N Willow Ave,Clovis,CA,93611,559-325-3120,https://locations.traderjoes.com/ca/clovis/180/,36.8495643,-119.7280729,train
Concord (60),1150 Concord Ave,Concord,CA,94520,925-689-2990,https://locations.traderjoes.com/ca/concord/60/,37.979301,-122.0561587,train
Concord (83),785 Oak Grove Rd,Concord,CA,94518,925-521-1134,https://locations.traderjoes.com/ca/concord/83/,37.9378109,-122.0258394,train
Corona (213),2790 Cabot Dr,Corona,CA,92883,951-603-0299,https://locations.traderjoes.com/ca/corona/213/,33.8111592,-117.5062534,train
Costa Mesa (290),"2170 Harbor Blvd, Ste 100",Costa Mesa,CA,92627,949-208-7420,https://locations.traderjoes.com/ca/costa-mesa/290/,,,train
Costa Mesa (35),640 W 17th St,Costa Mesa,CA,92627,949-642-5134,https://locations.traderjoes.com/ca/costa-mesa/35/,33.6359623,-117.9246232,train
Culver City (251),6150 Slauson Ave,Culver City,CA,90230,310-313-0441,https://locations.traderjoes.com/ca/culver-city/251/,33.9879295,-118.3930851,train
Culver City (36),9290 Culver Blvd,Culver City,CA,90232,310-202-1108,https://locations.traderjoes.com/ca/culver-city/36/,34.0249362,-118.3933957,train
Cypress (Rossmoor) (242),5245 Katella Ave.,Cypress,CA,90720,714-220-4930,https://locations.traderjoes.com/ca/cypress/242/,33.8031366,-118.0377944,train
Daly City (74),417 Westlake Center,Daly City,CA,94015,650-755-3825,https://locations.traderjoes.com/ca/daly-city/74/,37.7001684,-122.4822883,train
Danville (65),85 Railroad Ave,Danville,CA,94526,925-838-5757,https://locations.traderjoes.com/ca/danville/65/,37.8229304,-122.0032173,train
Davis (182),885 Russell Blvd,Davis,CA,95616,530-757-2693,https://locations.traderjoes.com/ca/davis/182/,38.5467537,-121.7614973,train
Eagle Rock (55),1566 Colorado Blvd,Eagle Rock,CA,90041,323-257-6422,https://locations.traderjoes.com/ca/eagle-rock/55/,34.1390839,-118.2003769,train
El Cerrito (108),225 El Cerrito Plaza,El Cerrito,CA,94530,510-524-7609,https://locations.traderjoes.com/ca/el-cerrito/108/,,,train
Elk Grove (190),9670 Bruceville Road,Elk Grove,CA,95757,916-686-9980,https://locations.traderjoes.com/ca/elk-grove/190/,38.4065756,-121.4202938,train
Emeryville (72),5700 Christie Ave,Emeryville,CA,94608,510-658-8091,https://locations.traderjoes.com/ca/emeryville/72/,37.837028,-122.2942547,train
Encino (56),17640 Burbank Blvd,Encino,CA,91316,818-990-7751,https://locations.traderjoes.com/ca/encino/56/,34.1718379,-118.5177851,train
Escondido (105),1885 S Centre City Pkwy,Escondido,CA,92025,760-233-4020,https://locations.traderjoes.com/ca/escondido/105/,33.1000685,-117.0747179,train
Fair Oaks (71),5309 Sunrise Blvd,Fair Oaks,CA,95628,916-863-1744,https://locations.traderjoes.com/ca/fair-oaks/71/,38.6620983,-121.2749434,train
Fairfield (101),"1350 Gateway Blvd, Ste A1-A7",Fairfield,CA,94533,707-434-0144,https://locations.traderjoes.com/ca/fairfield/101/,,,train
Folsom (172),850 East Bidwell,Folsom,CA,95630,916-817-8820,https://locations.traderjoes.com/ca/folsom/172/,38.6724297,-121.1558851,train
Fremont (77),39324 Argonaut Way,Fremont,CA,94538,510-794-1386,https://locations.traderjoes.com/ca/fremont/77/,37.5435716,-121.9860846,train
Fresno (8),8478 N. Friant Road,Fresno,CA,93720,559-433-6478,https://locations.traderjoes.com/ca/fresno/8/,36.8580653,-119.7826005,train
Glendale (53),103 E Glenoaks Blvd,Glendale,CA,91207,818-507-8192,https://locations.traderjoes.com/ca/glendale/53/,34.1597397,-118.254494,train
Goleta (110),5767 Calle Real,Goleta,CA,93117,805-692-2234,https://locations.traderjoes.com/ca/goleta/110/,34.4407421,-119.8250202,train
Granada Hills (44),11114 Balboa Blvd,Granada Hills,CA,91344,818-368-6461,https://locations.traderjoes.com/ca/granada-hills/44/,34.2726605,-118.5016373,train
Hermosa Beach (248),1100 Pacific Coast Hwy,Hermosa Beach,CA,90254,310-318-1767,https://locations.traderjoes.com/ca/hermosa-beach/248/,33.8639002,-118.391905,train
Huntington Beach - Brookhurst (241),21431 Brookhurst St,Huntington Beach,CA,92646,714-968-4070,https://locations.traderjoes.com/ca/huntington-beach/241/,33.6517938,-117.954554,train
Irvine - University Ctr (111),4225 Campus Dr,Irvine,CA,92612,949-509-6138,https://locations.traderjoes.com/ca/irvine/111/,33.6503583,-117.8375537,train
Irvine - Woodbury Town Center (210),6222 Irvine Blvd,Irvine,CA,92620,949-551-6402,https://locations.traderjoes.com/ca/irvine/210/,33.6985059,-117.743302,train
La Canada (42),475 Foothill Blvd,La Canada,CA,91011,818-790-6373,https://locations.traderjoes.com/ca/la-canada/42/,34.2000835,-118.1883764,train
La Mesa (24),5495 Grossmont Center Dr,La Mesa,CA,91942,619-466-0105,https://locations.traderjoes.com/ca/la-mesa/24/,32.7791359,-117.0057306,train
La Quinta (189),46400 Washington St,La Quinta,CA,92253,760-777-1553,https://locations.traderjoes.com/ca/la-quinta/189/,33.7112353,-116.295067,train
