business_id,name,rating,review_count,price,is_closed,latitude,longitude,address,city,state,zip_code,categories,category_aliases,phone,distance_meters,search_area
UWfQAfgqUT-zgjtra81Oaw,Rancho Market,5.0,6,,False,33.92759,-118.34424,11725 Prairie Ave,Hawthorne,CA,90250,Grocery,grocery,+13106768198,16665.965864028585,Los Angeles
O-GH-5Z6gr6lznlZLwRjLg,Mimi's Canyon Kitchen,5.0,20,$$,False,34.1072540283203,-118.368881225586,,Los Angeles,CA,90046,"Caterers, Grocery","catering, grocery",+13236565489,13058.745827794717,Los Angeles
PKUCCA2GV7yZVa0PDYVtVw,Placita Market La Oxaquena,5.0,7,$,False,34.0597629547119,-118.286495134234,2880 W 7th St,Los Angeles,CA,90005,Grocery,grocery,+12137392810,4018.208231201335,Los Angeles
PZCF1oGGqI7aN26558fQjw,M & M Mini Market & Restaurant,5.0,5,$$,False,33.98850675248208,-118.24789920890066,5811 Compton Ave,Los Angeles,CA,90011,Grocery,grocery,+13235897479,7092.924172787478,Los Angeles
7JIBiPJzpQXQOPqbtrfLeg,Mother's Nutritional Center,5.0,8,,False,33.94495,-118.2099,3361 Tweedy Blvd,South Gate,CA,90280,"Grocery, Health Markets","grocery, healthmarkets",+13235667797,12332.984859824619,Los Angeles
0-udVUO7sAg1-azKqtQiNA,Bucatini,5.0,14,,False,34.07728847301523,-118.265413,2146 W Sunset Blvd,Los Angeles,CA,90026,Grocery,grocery,+12133185016,3432.6061461378254,Los Angeles
rkfGJgPqw4bFD9tTBAjEJA,El Coco Market,5.0,5,$,False,33.9810299,-118.34834,611 E Fairview Blvd,Inglewood,CA,90302,Grocery,grocery,+13106734588,12486.302236135314,Los Angeles
icmhhs4Zul9NIjKymSv4pQ,Palomino Meat Market & Bakery,5.0,10,$,False,34.0263318,-118.2150613,2817 E 8th St,Los Angeles,CA,90023,Grocery,grocery,+13235267189,3897.0789942769748,Los Angeles
zaUbot9QvYqj_XvGh9w7eQ,Royale Grocery,5.0,6,$,False,34.1020446270704,-118.310679271817,1710 Garfield Pl,Los Angeles,CA,90028,Grocery,grocery,+13234637576,8282.366510082431,Los Angeles
Xy_wF6cdcnaKpQ4k8XPwMw,LA Tiendita,5.0,7,$,False,34.0281524658203,-118.182777404785,601 S Record Ave,Los Angeles,CA,90023,"Grocery, Beer, Wine & Spirits","grocery, beer_and_wine",+13232668978,6214.768351226537,Los Angeles
dhGmllHwxD1crji7qDGHYg,Jesse’s Market,5.0,7,,False,34.028033,-118.25704083,1818 S San Pedro St,Los Angeles,CA,90015,Grocery,grocery,+12137470218,2956.983562874359,Los Angeles
KzsjNrWc3qGxARYSk8cYEg,Luong Hao Water,5.0,5,$,False,34.075454,-118.217231,2310 Pasadena Ave,Los Angeles,CA,90031,Grocery,grocery,+13232256051,3547.7841486733396,Los Angeles
wbW7ceur_bvHhAy45_UT3g,Miranda's Market,5.0,5,,False,34.02361,-118.18177,4122 Whittier Blvd,Los Angeles,CA,90023,Grocery,grocery,+13235268128,6517.272565437896,Los Angeles
E3B-PY4TVSsEaxxMQQF58w,LA Homefarm,5.0,10,,False,34.11451490216439,-118.23639918118717,3389 Eagle Rock Blvd,Los Angeles,CA,90065,Grocery,grocery,+13234746323,6961.638092136934,Los Angeles
hhX2YZnJjCLmKDB3WHyTkQ,Daily Needs,5.0,5,,False,34.14568,-118.14418,300 E Colorado Blvd,Pasadena,CA,91101,Grocery,grocery,+16266393430,13780.553999877437,Los Angeles
32IAobAlUZau91olH12xow,Leo Market,5.0,10,$$,False,34.07392830344023,-118.2521834,1396 W Sunset Blvd,Los Angeles,CA,90026,"Grocery, Beer, Wine & Spirits, Convenience Stores","grocery, beer_and_wine, convenience",+12134829003,2539.3095091312593,Los Angeles
ghxBMxOx-FPoWKUv1ovSXQ,EZ Halal Meat & Grocery Market,5.0,23,,False,34.181179,-118.1422729,2057 N Los Robles Ave,Pasadena,CA,91104,"Grocery, Public Markets, Halal","grocery, publicmarkets, halal",+16266963647,17110.325958945232,Los Angeles
q4y7ZW0A6hGSfUkvjEl5Gg,Ari Market,5.0,7,,False,34.1774416,-118.297998,906 S Glenoaks Blvd,Burbank,CA,91502,"Grocery, International Grocery, Delis","grocery, intlgrocery, delis",+18187299391,14796.956693719803,Los Angeles
-uTXVc6HO6AI3CMIZ_UTCQ,Gateway Plaza Snacks & Gifts,5.0,7,$,False,34.1510170332173,-118.132097050961,300 N Lake Ave,Pasadena,CA,91101,"Grocery, Delis","grocery, delis",+16264497625,15044.134333389302,Los Angeles
g_EiIpH-sOQjwv0rZ-KifA,Potluck Local,5.0,10,,False,34.12297399569543,-118.2127129,4705 York Blvd,Los Angeles,CA,90042,Grocery,grocery,,8371.089643986083,Los Angeles
