feature,importance
median_gross_rent,0.20424621
pct_bachelors_plus,0.1318451
total_households,0.108585045
total_population,0.06125665
total_reviews,0.056523997
per_capita_income,0.0466343
market_saturation_score,0.03454377
pct_transit_commuters,0.033919003
pct_hispanic,0.033197723
unemployment_rate,0.03199642
competitor_count,0.031599306
median_age,0.031378176
median_home_value,0.026650332
diversity_index,0.02587368
avg_price_tier,0.02409424
income_rent_ratio,0.023420366
opportunity_score,0.020629436
housing_occupancy_rate,0.019300394
avg_competitor_rating,0.019099139
median_household_income,0.01824604
poverty_rate,0.016960666
